,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age-height-weight,num_for_test
3,4,Edgar Lindenau Aabye,M,Denmark/Sweden,DEN,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,34.0:nan?nan,352.35
37,15,Arvo Ossian Aaltonen,M,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,30.0:nan?nan,641.68
38,15,Arvo Ossian Aaltonen,M,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze,30.0*nan?nan,281.09
40,16,Juhamatti Tapio Aaltonen,M,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,28.0(184.0?85.0,1091.04
41,17,Paavo Johannes Aaltonen,M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,28.0(175.0?64.0,718.08
42,17,Paavo Johannes Aaltonen,M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold,28.0*175.0?64.0,741.76
44,17,Paavo Johannes Aaltonen,M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold,28.0(175.0?64.0,61.82
48,17,Paavo Johannes Aaltonen,M,Finland,FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,28.0:175.0?64.0,443.69
50,17,Paavo Johannes Aaltonen,M,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze,32.0(175.0?64.0,769.01
60,20,Kjetil Andr Aamodt,M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold,20.0?176.0?85.0,388.63
61,20,Kjetil Andr Aamodt,M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze,20.0*176.0?85.0,1473.37
63,20,Kjetil Andr Aamodt,M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver,22.0(176.0?85.0,1425.96
64,20,Kjetil Andr Aamodt,M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze,22.0*176.0?85.0,1803.74
67,20,Kjetil Andr Aamodt,M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver,22.0(176.0?85.0,150.15
73,20,Kjetil Andr Aamodt,M,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold,30.0:176.0?85.0,1842.77
76,20,Kjetil Andr Aamodt,M,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold,30.0?176.0?85.0,1282.72
78,20,Kjetil Andr Aamodt,M,Norway,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold,34.0:176.0?85.0,465.69
79,21,Ragnhild Margrethe Aamodt,F,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold,27.0*163.0?nan,254.8
86,25,Alf Lied Aanning,M,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,24.0(nan?nan,1170.83
91,29,Willemien Aardenburg,F,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze,22.0*nan?nan,155.02
92,30,Pepijn Aardewijn,M,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver,26.0?189.0?72.0,1891.9
105,37,Ann Kristin Aarnes,F,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze,23.0:182.0?64.0,1709.33
106,38,Karl Jan Aas,M,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,20.0(nan?nan,1876.08
110,40,Roald Edgar Aas,M,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze,23.0?nan?nan,1572.79
113,40,Roald Edgar Aas,M,Norway,NOR,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold,31.0?nan?nan,702.88
117,42,Thomas Valentin Aas,M,Taifun,NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold,25.0?nan?nan,609.56
150,56,Ren Abadie,M,France,FRA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold,21.0*nan?nan,1872.83
158,62,Giovanni Abagnale,M,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze,21.0?198.0?90.0,623.76
159,63,Jos Luis Abajo Gmez,M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze,30.0:194.0?87.0,0.16
161,65,Patimat Abakarova,F,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze,21.0*165.0?49.0,227.97
163,67,Mariya Vasilyevna Abakumova (-Tarabina),F,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver,22.0(179.0?80.0,802.2
172,72,Aleksey Aleksandrovich Abalmasov,M,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,28.0:180.0?83.0,184.55
173,73,Luc Abalo,M,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold,23.0?182.0?86.0,1514.91
174,73,Luc Abalo,M,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold,27.0*182.0?86.0,410.07
175,73,Luc Abalo,M,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver,31.0?182.0?86.0,26.33
178,76,Jouan Patrice Abanda Etong,M,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold,22.0*185.0?82.0,1373.34
182,80,Jos Mara Abarca Plotas,M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold,22.0*186.0?83.0,30.67
186,84,Stephen Anthony Abas,M,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,26.0:165.0?55.0,1926.97
188,85,Alejandro Abascal Garca,M,Spain,ESP,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold,28.0?181.0?82.0,1614.4
191,86,Jos Manuel Abascal Gmez,M,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze,26.0?182.0?67.0,1603.77
195,90,Tamila Rashidovna Abasova,F,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver,21.0?163.0?60.0,1277.23
200,93,Jol Marc Abati,M,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold,38.0?190.0?85.0,1771.61
208,99,Pter Abay,M,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver,30.0?181.0?79.0,1204.28
210,100,Oszkr Abay-Nemes,M,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,22.0:nan?nan,480.87
214,103,Silvano Abba,M,Italy,ITA,1936 Summer,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,25.0*nan?nan,1101.64
218,106,Agostino Abbagnale,M,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold,22.0?188.0?96.0,1138.95
219,106,Agostino Abbagnale,M,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold,29.0*188.0?96.0,988.04
220,106,Agostino Abbagnale,M,Italy,ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold,34.0(188.0?96.0,179.67
221,107,Carmine Abbagnale,M,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold,22.0(182.0?90.0,1707.13
222,107,Carmine Abbagnale,M,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold,26.0*182.0?90.0,41.92
223,107,Carmine Abbagnale,M,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver,30.0(182.0?90.0,1230.77
226,108,Giuseppe Abbagnale,M,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold,25.0*187.0?97.0,1355.27
227,108,Giuseppe Abbagnale,M,Italy,ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold,29.0*187.0?97.0,522.84
228,108,Giuseppe Abbagnale,M,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver,33.0?187.0?97.0,1349.83
268,139,"George ""Ioannis"" Abbot",M,Thessalonki-1,GRE,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Bronze,nan?nan?nan,1004.12
274,143,"Desmond ""Des"" Abbott",M,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,21.0(184.0?87.0,603.31
278,145,Jeremy Abbott,M,United States,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze,28.0:175.0?70.0,713.17
283,150,Margaret Ives Abbott (-Dunne),F,United States,USA,1900 Summer,1900,Summer,Paris,Golf,Golf Women's Individual,Gold,23.0?nan?nan,1558.75
286,153,Monica Cecilia Abbott,F,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver,23.0:191.0?88.0,330.76
311,165,Nia Nicole Abdallah,F,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver,20.0(175.0?56.0,594.9
450,250,Saeid Morad Abdevali,M,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,26.0:170.0?80.0,1566.21
476,259,Reema Abdo,F,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,21.0*173.0?59.0,1532.53
524,297,Lala Abdul Rashid,M,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold,38.0(169.0?91.0,1133.79
525,298,Muhammad Abdul Rashid,M,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver,23.0(181.0?72.0,1002.13
550,316,Zagalav Abdulbekovich Abdulbekov,M,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,26.0(160.0?62.0,1575.2
587,337,Mukhammad Kadyr Abdullayev,M,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold,26.0?169.0?63.0,1855.46
590,339,Namiq Yadulla Abdullayev,M,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,25.0:167.0?55.0,122.46
591,339,Namiq Yadulla Abdullayev,M,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,29.0:167.0?55.0,1562.87
609,351,Julius Shareef Abdur-Rahim,M,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold,23.0*202.0?104.0,869.27
617,357,Yusup Abdusalomov,M,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,30.0(170.0?84.0,1333.97
620,359,Andrey Khakimovich Abduvaliyev,M,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold,26.0?190.0?125.0,53.29
636,367,Masashi Abe,M,Japan,JPN,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold,28.0(175.0?64.0,176.89
655,379,Addis Abebe,M,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze,21.0:160.0?50.0,621.7
663,385,"Max ""Xam"" Abegglen",M,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Silver,22.0(nan?nan,885.67
